Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
11/4/2016,BRITANNIA,EQ,3301.5,3300,3380,3222,3305.2,3302,3307.47,227573,7.5269E+13,28275,132219,0.581
11/7/2016,BRITANNIA,EQ,3302,3329,3348,3285,3300.1,3302.55,3305.25,210916,6.97131E+13,18464,109823,0.5207
11/8/2016,BRITANNIA,EQ,3302.55,3278,3301.7,3215.55,3220.15,3235.55,3242.77,453378,1.4702E+14,55430,270324,0.5962
11/9/2016,BRITANNIA,EQ,3235.55,3100,3191.7,2929,3131,3124.2,3111.57,225840,7.02717E+13,19756,129997,0.5756
11/10/2016,BRITANNIA,EQ,3124.2,3215,3241.85,3169.25,3213,3204.15,3203.31,137274,4.39732E+13,13503,96649,0.7041
11/11/2016,BRITANNIA,EQ,3204.15,3189.85,3189.85,3030.5,3050,3079.35,3099.75,216039,6.69666E+13,23672,134380,0.622
11/15/2016,BRITANNIA,EQ,3079.35,3064,3064,2781.2,2939.95,2929.35,2882.22,579245,1.66951E+14,67254,421103,0.727
11/16/2016,BRITANNIA,EQ,2929.35,2950,3060,2926.35,3001,2991,2997.15,235149,7.04776E+13,29918,152370,0.648
11/17/2016,BRITANNIA,EQ,2991,3020,3020,2920,2932,2935.05,2961.5,202752,6.00451E+13,21028,147396,0.727
11/18/2016,BRITANNIA,EQ,2935.05,2921,2925,2871.05,2910,2902.6,2897.7,290700,8.42361E+13,29664,219982,0.7567
11/21/2016,BRITANNIA,EQ,2902.6,2905,2928.15,2876.1,2900,2894.3,2894.75,91182,2.63949E+13,11047,57680,0.6326
11/22/2016,BRITANNIA,EQ,2894.3,2906.1,2920,2851.95,2911,2906.05,2890.01,177238,5.12219E+13,22055,126435,0.7134
11/23/2016,BRITANNIA,EQ,2906.05,2939,2976,2895,2958.2,2967.75,2944.78,129498,3.81343E+13,15150,76523,0.5909
11/24/2016,BRITANNIA,EQ,2967.75,2958,2988,2916,2950,2942.55,2942.34,155070,4.56268E+13,26448,94486,0.6093
11/25/2016,BRITANNIA,EQ,2942.55,2969.95,2974.45,2921.05,2960,2962,2955.68,87882,2.59751E+13,17981,51128,0.5818
11/28/2016,BRITANNIA,EQ,2962,2959.95,2991.1,2928.15,2947.6,2970.5,2968.83,89016,2.64274E+13,18373,45307,0.509
11/29/2016,BRITANNIA,EQ,2970.5,2987,3038.4,2972,2995.25,3005.45,3004.2,104156,3.12905E+13,12352,51794,0.4973
11/30/2016,BRITANNIA,EQ,3005.45,3010,3073.95,2951.2,3042.35,3032.9,3003.53,237369,7.12944E+13,29785,156852,0.6608
12/1/2016,BRITANNIA,EQ,3032.9,3036.05,3063.95,2996,3014,3003.35,3024.91,94489,2.85821E+13,13901,47899,0.5069
12/2/2016,BRITANNIA,EQ,3003.35,2994.8,3015,2964.85,2977,2976.8,2985.96,169703,5.06726E+13,26179,107343,0.6325
12/5/2016,BRITANNIA,EQ,2976.8,2980,3082.8,2980,3058.3,3066.4,3035.5,108580,3.29595E+13,12477,48317,0.445
12/6/2016,BRITANNIA,EQ,3066.4,3069.6,3074,2997.1,3009,3004.45,3019.9,89657,2.70755E+13,12903,40457,0.4512
12/7/2016,BRITANNIA,EQ,3004.45,3018,3044.6,2982,3010,2994.75,3011.96,117622,3.54272E+13,10123,73922,0.6285
12/8/2016,BRITANNIA,EQ,2994.75,3013,3068,3001,3036,3038.75,3043.89,84693,2.57796E+13,12418,47150,0.5567
12/9/2016,BRITANNIA,EQ,3038.75,3041.9,3062.8,3021.1,3032.2,3025.35,3027.25,317721,9.61822E+13,5168,296229,0.9324
12/12/2016,BRITANNIA,EQ,3025.35,3025.5,3028.5,2970.1,2975.1,2977.05,2993.63,137358,4.11199E+13,12608,105826,0.7704
12/13/2016,BRITANNIA,EQ,2977.05,2997.85,2997.85,2924.95,2945,2938.65,2940.3,192044,5.64667E+13,32942,133498,0.6951
12/14/2016,BRITANNIA,EQ,2938.65,2940,2968,2935,2938.75,2941.65,2946.91,116887,3.44455E+13,10433,89659,0.7671
12/15/2016,BRITANNIA,EQ,2941.65,2932,2954,2907.5,2912,2920.2,2921.06,108279,3.1629E+13,15120,70319,0.6494
12/16/2016,BRITANNIA,EQ,2920.2,2923.25,2938.15,2881.9,2905,2895.3,2915.1,194080,5.65762E+13,9115,159914,0.824
12/19/2016,BRITANNIA,EQ,2895.3,2900,2914.75,2865.5,2895.15,2899.6,2893.41,110005,3.1829E+13,9851,81699,0.7427
12/20/2016,BRITANNIA,EQ,2899.6,2902,2909.8,2866,2872,2872.1,2882.53,200544,5.78074E+13,21119,160043,0.798
12/21/2016,BRITANNIA,EQ,2872.1,2872.1,2899,2827.8,2851,2847.7,2847.2,200871,5.7192E+13,14401,148073,0.7372
12/22/2016,BRITANNIA,EQ,2847.7,2840,2849.25,2799.85,2823,2810.65,2811.97,92589,2.60357E+13,14576,43650,0.4714
12/23/2016,BRITANNIA,EQ,2810.65,2810.05,2841.15,2772.85,2834,2831.2,2810.92,91370,2.56834E+13,13123,55722,0.6099
12/26/2016,BRITANNIA,EQ,2831.2,2829.9,2831.4,2780,2813.5,2807.3,2805.73,68000,1.9079E+13,8314,41584,0.6115
